Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,12,1,-98,11,50,0
2,13,1,-98,12,52,0
3,9,1,-99,9,52,0
4,3,1,-99,3,42,0
5,1,1,-99,1,48,0
6,1,0,-99,1,43,0
7,5,0,-99,5,52,0
8,8,0,-99,8,51,0
9,9,0,-99,9,46,0
10,3,1,-99,3,-67,40
11,3,0,-99,3,50,40
12,5,0,-99,5,52,40
13,7,1,-99,7,51,40
14,7,0,-99,7,43,40
15,7,0,-99,7,58,40
16,5,1,-99,5,48,40
17,4,1,-99,4,45,40
18,4,1,-99,4,51,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
19,5,0,-99,5,52,40
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
20,12,0,-98,11,123,0
