Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,8,0,-99,8,71,0
2,9,1,-99,9,55,0
3,5,0,-99,5,58,0
4,0,0,-100,0,53,0
5,-4,0,-99,-3,62,0
6,-3,1,-99,-2,55,0
7,2,1,-99,2,57,0
8,6,0,-99,6,63,0
9,5,1,-99,5,52,0
10,2,0,-99,2,-24,0
11,-5,0,-99,-4,27,40
12,0,1,-100,0,63,40
13,4,1,-99,4,58,40
14,6,1,-99,6,49,40
15,5,0,-99,5,58,40
16,2,1,-99,2,56,40
17,0,0,-100,0,56,40
18,0,1,-100,0,62,40
19,2,0,-99,2,63,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
20,2,0,-99,2,51,40
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
21,5,1,-99,5,93,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
22,0,0,-100,0,5,80
